Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
Andrew Johnston,,,Quaker,HOD,,
Andrew & Jun Johnston,,,Quaker,APS,1861,1863
John Jowett,,,Quaker,APS,1860,1868
W D King,,,Quaker,APS,1862,1866
J H Knight,,,Quaker,APS,1860,1862
T Knott,,,Quaker,APS,1860,1861
Edward A Leatham,,,Quaker,APS,1851,1868
Isabella Lister,,,Quaker,APS,1838,1841
Wilson Lloyd,,,Quaker,APS,1866,1868
Haggar Lowe,,,Quaker,APS,1838,1868
Edmund Lucas,,,Quaker,APS,1851,1865
Frederick Lucas,,,Quaker,APS,1839,1841
Jeffrey Lucas,,,Quaker,APS,1840,1855
Martha Lucas,,,Quaker,APS,1851,1856
Samuel Lucas,,,Quaker,APS,1851,1868
William Jun Lucas,,,Quaker,APS,1839,1861
Harford Lury,,,Quaker,APS,1860,1866
J E Lury,,,Quaker,APS,1853,1868
W Mann,,,Quaker,APS,1860,1861
Caroline Marriage,,,Quaker,APS,1860,1868
Edward Marsh,,,Quaker,APS,1857,1868
Thomas William Marsh,,,Quaker,APS,1860,1868
Thomas Maw,,,Quaker,APS,1839,1841
Edward C May,,,Quaker,APS,1839,1863
Francis May,,,Quaker,APS,1860,1866
John Mayfield,,,Quaker,APS,1847,1868
Josiah Merrick,,,Quaker,APS,1860,1868
John Morland,,,Quaker,APS,1839,1868
George L Neighbour,,,Quaker,APS,1847,1868
Josiah Newman,,,Quaker,APS,1867,1868
William Norris,,,Quaker,APS,1860,1868
Thomas Norton,,,Quaker,APS,1860,1868
William Norton,,,Quaker,APS,1861,1868
